date,mNAV,regime,trend,signal,mstr_fwd,btc_fwd,alpha,signal_v2
2024-01-02,8.448,Light,range,SHORT,23.9,40.3,-16.4,REDUCE
2024-03-01,7.429,Light,range,SHORT,-78.3,8.1,-86.4,REDUCE
2024-06-01,1.428,Dormant,uptrend,HOLD,-15.1,-14.2,-1.0,REDUCE
2024-09-01,1.387,Dormant,range,REDUCE,86.8,25.2,61.6,REDUCE
2024-10-31,1.991,Light,uptrend,REDUCE,41.1,25.0,16.1,REDUCE
2024-11-15,1.882,Aggressive,uptrend,SHORT,16.8,7.8,9.0,SHORT
2024-11-25,1.82,Aggressive,uptrend,SHORT,-0.5,0.5,-1.0,SHORT
2024-12-10,1.769,Aggressive,range,SHORT,-7.8,-1.5,-6.3,SHORT
2024-12-22,1.641,Aggressive,range,SHORT,-10.2,3.6,-13.8,SHORT
2025-01-20,1.426,Active,range,SHORT,-8.6,-2.5,-6.1,SHORT
2025-02-05,1.342,Active,range,REDUCE,-3.0,-1.0,-2.0,REDUCE
2025-02-20,1.312,Active,range,REDUCE,-14.5,-13.5,-0.9,REDUCE
2025-03-15,1.305,Active,range,REDUCE,16.9,-1.2,18.1,REDUCE
2025-04-01,1.551,Light,range,REDUCE,24.1,26.8,-2.7,REDUCE
2025-06-01,1.373,Active,uptrend,HOLD,19.4,-13.5,32.9,REDUCE
2025-09-01,1.882,Active,range,SHORT,-10.0,6.7,-16.7,SHORT
2025-11-30,1.744,Aggressive,uptrend,SHORT,-9.6,1.0,-10.6,SHORT
2026-01-15,2.818,Aggressive,range,SHORT,-4.3,-2.1,-2.2,SHORT
2026-02-01,2.73,Active,range,SHORT,-14.9,-10.5,-4.4,SHORT
2026-03-01,2.52,Light,range,SHORT,-14.0,-3.5,-10.5,REDUCE
2026-04-01,1.409,Dormant,range,REDUCE,45.7,6.1,39.6,REDUCE
2026-04-20,1.924,Active,uptrend,SHORT,-48.5,-8.0,-40.4,SHORT
